科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、资产评估,350,55,83,340,53,80
法律(法学)、法律(非法学)、社会工作、警务,325,45,68,315,43,65
教育、汉语国际教育,305,40,60,295,38,57
体育,270,35,105,260,33,99
应用心理,305,40,120,295,38,114
翻译、新闻与传播、出版,355,55,83,345,53,80
艺术,320,35,53,310,33,50
文物与博物馆,295,40,120,285,38,114
建筑学、工程,300,40,60,290,38,57
农业推广、兽医、风景园林、林业,260,35,53,250,33,50
临床医学、口腔医学、公共卫生、护理、药学、中药学,300,40,120,290,38,114
工商管理、公共管理、旅游管理、工程管理,165,45,90,155,40,80
会计、图书情报,350,55,110,340,53,106
工程照顾专业*,280,40,60,270,38,57
临床医学中医类照顾专业*,270,35,105,260,33,99
享受少数民族政策的考生*,240,30,45,240,30,45
