科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,280,37,56,270,34,51.0
经济学,330,45,68,320,42,63.0
法学,300,42,63,290,39,59.0
教育学(不含体育学),320,44,132,310,41,123.0
文学,345,52,78,335,49,74.0
历史学,300,42,126,290,39,117.0
理学,275,36,54,265,33,50.0
工学(不含工学照顾专业),280,38,57,270,35,53.0
农学,255,34,51,245,31,47.0
医学(不含中医类照顾专业),285,39,117,275,36,108.0
军事学,290,39,59,280,36,54.0
管理学,335,46,69,325,43,65.0
艺术学,325,34,51,315,31,47.0
体育学,265,34,102,255,31,93.0
工学照顾专业*,275,36,54,265,33,50.0
中医类照顾专业*,285,38,114,275,35,105.0
享受少数民族政策的考生*,245,30,45,245,30,45.0
